Word,EN_1,ES_1,EN_2,ES_2,EN_3,ES_3
chess board,A chess board has 64 squares!,¡Un tablero de ajedrez tiene 64 casillas!,Chess board — black and white squares!,¡Tablero de ajedrez — casillas negras y blancas!,Penny loves to play on the chess board!,¡A Penny le encanta jugar en el tablero de ajedrez!
pawn,The pawn is the smallest piece!,¡El peón es la pieza más pequeña!,Pawns move forward — never backward!,¡Los peones avanzan — ¡nunca hacia atrás!,Penny loves the little pawn!,¡A Penny le encanta el pequeño peón!
knight,Knight! It jumps in an L shape!,¡Caballo! ¡Salta en forma de L!,The knight can jump over other pieces!,¡El caballo puede saltar sobre otras piezas!,Knights are angry — careful!,¡Los caballos están enojados — ¡cuidado!
queen,Queen! The most powerful piece!,¡Reina! ¡La pieza más poderosa!,The queen can move anywhere!,¡La reina puede moverse a cualquier lugar!,Penny wants to be the queen!,¡Penny quiere ser la reina!
king,King! Keep him safe!,¡Rey! ¡Mantenlo a salvo!,The king is the most important piece!,¡El rey es la pieza más importante!,Penny says — protect the king!,¡Penny dice — ¡protege al rey!
rook,Rook! It moves left and right and up and down!,¡Torre! ¡Se mueve a la izquierda y derecha y arriba y abajo!,The rook is shaped like a tower!,¡La torre tiene forma de castillo!,This penguin loves the rook!,¡A este pingüino le encanta la torre!
bishop,Bishop! It moves in a diagonal line!,¡Alfil! ¡Se mueve en línea diagonal!,The bishop always stays on one color!,¡El alfil siempre se queda en un solo color!,Penny's favorite piece is the bishop!,¡La pieza favorita de Penny es el alfil!
square,Square! Every chess board has 64 of them!,¡Casilla! ¡Cada tablero tiene 64!,Each piece stands on one square!,¡Cada pieza está en una casilla!,Penny's chess square is black!,¡La casilla de Penny es negra!
row,Row! It goes left and right!,¡Fila! ¡Va de izquierda a derecha!,A chess board has 8 rows!,¡Un tablero de ajedrez tiene 8 filas!,Penny counts every row on the board!,¡Penny cuenta cada fila del tablero!
column,Column! It goes up and down!,¡Columna! ¡Va de arriba a abajo!,A chess board has 8 columns!,¡Un tablero de ajedrez tiene 8 columnas!,Count the columns with Penny — eight!,¡Cuenta las columnas con Penny — ¡ocho!
living room,Living room — where the family is!,¡Sala — donde está la familia!,Sit and watch TV in the living room!,¡Siéntate a ver televisión en la sala!,Penny wants to sit on your sofa!,¡Penny quiere sentarse en tu sofá!
kitchen,Kitchen! This is where we cook food!,¡Cocina! ¡Aquí cocinamos la comida!,The kitchen smells so good!,¡La cocina huele tan rico!,Penny loves to eat in the kitchen!,¡A Penny le encanta comer en la cocina!
bathroom,Bathroom! Wash your hands!,¡Baño! ¡Lávate las manos!,Brush your teeth in the bathroom!,¡Cepíllate los dientes en el baño!,Even penguins wash their hands!,¡Hasta los pingüinos se lavan las manos!
bedroom,Bedroom! Time to sleep!,¡Dormitorio! ¡Hora de dormir!,The bedroom is where you rest!,¡El dormitorio es donde descansas!,Penny sleeps in a cold bedroom!,¡Penny duerme en un dormitorio frío!
dining room,Dining room — where the family eats!,¡Comedor — donde la familia come!,Sit at the table in the dining room!,¡Siéntate en la mesa del comedor!,Penny wants to eat at your table!,¡Penny quiere comer en tu mesa!
laundry room,Laundry room — for clean clothes!,¡Lavandería — para ropa limpia!,Wash your clothes in the laundry room!,¡Lava tu ropa en la lavandería!,Penny has no clothes to wash!,¡Penny no tiene ropa que lavar!
garden,Garden! Where flowers and plants grow!,¡Jardín! ¡Donde crecen flores y plantas!,Plants need sun and water to grow!,¡Las plantas necesitan sol y agua para crecer!,Penny likes to walk in the garden!,¡A Penny le gusta caminar en el jardín!
garage,Garage — where the car lives!,¡Garaje — donde vive el carro!,The car is in the garage!,¡El carro está en el garaje!,Penny does not have a car or a garage!,¡Penny no tiene carro ni garaje!
playroom,Playroom — time to play!,¡Cuarto de juegos — ¡hora de jugar!,Toys and games are in the playroom!,¡Los juguetes y juegos están en el cuarto de juegos!,Penny wants to play in your playroom!,¡Penny quiere jugar en tu cuarto de juegos!
office,Office — where grown-ups work!,¡Oficina — donde trabajan los adultos!,Computers are in the office!,¡Las computadoras están en la oficina!,Penny has an office in Antarctica!,¡Penny tiene una oficina en la Antártida!
hair,Hair! On top of your head!,¡Cabello! ¡En la cima de tu cabeza!,Your hair can be long or short!,¡Tu cabello puede ser largo o corto!,Penguins have no hair — only feathers!,¡Los pingüinos no tienen cabello — ¡solo plumas!
head,Head! Your brain is in there!,¡Cabeza! ¡Tu cerebro está adentro!,Nod your head yes!,¡Mueve la cabeza para decir sí!,Penny has a big round head!,¡Penny tiene una cabeza grande y redonda!
face,Face! Let me see your smile!,¡Cara! ¡Déjame ver tu sonrisa!,Your face has eyes and nose and mouth!,¡Tu cara tiene ojos y nariz y boca!,Penny has a cute black and white face!,¡Penny tiene una cara bonita en blanco y negro!
forehead,Forehead — right above your eyes!,¡Frente — justo encima de tus ojos!,Touch your forehead!,¡Toca tu frente!,A big kiss on your forehead!,¡Un gran beso en tu frente!
eyebrow,Eyebrow! Raise it up!,¡Ceja! ¡Levántala!,Your eyebrows are above your eyes!,¡Tus cejas están encima de tus ojos!,Penny raises one eyebrow when she is happy!,¡Penny levanta una ceja cuando está feliz!
eyelash,Eyelash! They protect your eyes!,¡Pestaña! ¡Protegen tus ojos!,Your eyelashes are long and beautiful!,¡Tus pestañas son largas y hermosas!,Penny has big beautiful eyelashes!,¡Penny tiene pestañas grandes y hermosas!
eye,Eye! Can you see me?,¡Ojo! ¿Me puedes ver?,You have two eyes — left and right!,¡Tienes dos ojos — izquierdo y derecho!,Penny has big round eyes!,¡Penny tiene ojos grandes y redondos!
ear,Ear! Can you hear me?,¡Oreja! ¿Me puedes escuchar?,You have two ears!,¡Tienes dos orejas!,Penguins have very good ears!,¡Los pingüinos tienen muy buenos oídos!
nose,Nose! What do you smell?,¡Nariz! ¿Qué hueles?,Your nose is in the middle of your face!,¡Tu nariz está en el centro de tu cara!,Penny has a yellow nose — like a beak!,¡Penny tiene una nariz amarilla — como un pico!
cheek,Cheek! Touch your cheek!,¡Mejilla! ¡Toca tu mejilla!,You have two cheeks — left and right!,¡Tienes dos mejillas — izquierda y derecha!,Penny has pink cheeks!,¡Penny tiene mejillas rosadas!
mouth,Mouth! Say the word again!,¡Boca! ¡Di la palabra de nuevo!,Open your mouth big!,¡Abre la boca bien grande!,Penny opens her mouth to eat fish!,¡Penny abre la boca para comer pescado!
lips,Lips! Touch your lips!,¡Labios! ¡Toca tus labios!,Your lips help you talk and eat!,¡Tus labios te ayudan a hablar y comer!,Penny has orange lips!,¡Penny tiene labios anaranjados!
teeth,Teeth! Brush them every day!,¡Dientes! ¡Cepíllalos todos los días!,Brush your teeth two times a day!,¡Cepíllate los dientes dos veces al día!,Penny says — brush your teeth!,¡Penny dice — ¡cepíllate los dientes!
tongue,Tongue! Stick it out!,¡Lengua! ¡Sácala!,Your tongue helps you taste food!,¡Tu lengua te ayuda a saborear la comida!,Penny uses her tongue to eat fish!,¡Penny usa su lengua para comer pescado!
chin,Chin! At the bottom of your face!,¡Mentón! ¡En la parte baja de tu cara!,Touch your chin!,¡Toca tu mentón!,Penny has a white chin!,¡Penny tiene un mentón blanco!
neck,Neck! It holds your head up!,¡Cuello! ¡Sostiene tu cabeza!,Turn your neck left and right!,¡Gira el cuello a la izquierda y a la derecha!,Penny has a short neck!,¡Penny tiene un cuello corto!
shoulder,Shoulder! Touch your shoulder!,¡Hombro! ¡Toca tu hombro!,You have two shoulders!,¡Tienes dos hombros!,Penny carries fish on her shoulder!,¡Penny carga pescado en su hombro!
chest,Chest! Your heart is inside!,¡Pecho! ¡Tu corazón está adentro!,Put your hand on your chest!,¡Pon la mano en el pecho!,Penny has a big white chest!,¡Penny tiene un pecho grande y blanco!
arm,Arm! Move it up and down!,¡Brazo! ¡Muévelo hacia arriba y hacia abajo!,Wave your arm — hello!,¡Mueve tu brazo — ¡hola!,Penny's arms are her wings!,¡Los brazos de Penny son sus alas!
elbow,Elbow! Bend your arm!,¡Codo! ¡Dobla el brazo!,Touch your elbow!,¡Toca tu codo!,Penny bends her elbow to swim fast!,¡Penny dobla el codo para nadar rápido!
stomach,Stomach! Are you hungry?,¡Estómago! ¿Tienes hambre?,Pat your stomach!,¡Date una palmadita en el estómago!,Penny's stomach is always hungry for fish!,¡El estómago de Penny siempre tiene hambre de pescado!
wrist,Wrist! Turn it around!,¡Muñeca! ¡Gírala!,The wrist connects your hand and arm!,¡La muñeca conecta la mano y el brazo!,Penny's wrist helps her swim!,¡La muñeca de Penny la ayuda a nadar!
hand,Hand! Give me a high five!,¡Mano! ¡Chócala!,You have two hands — left and right!,¡Tienes dos manos — izquierda y derecha!,Penny has wings instead of hands!,¡Penny tiene alas en vez de manos!
thumb,Thumbs up — great job!,¡Pulgar arriba — ¡buen trabajo!,The thumb is the big finger!,¡El pulgar es el dedo grande!,Give Penny a thumbs up!,¡Dale un pulgar arriba a Penny!
finger,Finger! How many do you have?,¡Dedo! ¿Cuántos tienes?,You have ten fingers — count them!,¡Tienes diez dedos — ¡cuéntalos!,Penny has no fingers — only wings!,¡Penny no tiene dedos — solo alas!
leg,Leg! Kick it up!,¡Pierna! ¡Levántala!,Stand on one leg — can you?,¡Párate en una pierna — ¿puedes?,Penny has short legs but swims fast!,¡Penny tiene piernas cortas pero nada rápido!
knee,Knee! Touch your knee!,¡Rodilla! ¡Toca tu rodilla!,The knee is in the middle of your leg!,¡La rodilla está en el medio de la pierna!,Penny bends her knee to sit down!,¡Penny dobla la rodilla para sentarse!
foot,Foot! Stomp it!,¡Pie! ¡Golpéalo!,You have two feet — left and right!,¡Tienes dos pies — izquierdo y derecho!,Penny has big orange feet!,¡Penny tiene pies grandes y anaranjados!
toe,Toe! Wiggle them!,¡Dedo del pie! ¡Muévelos!,You have five toes on each foot!,¡Tienes cinco dedos en cada pie!,Penny has orange toes!,¡Penny tiene dedos del pie anaranjados!
back,Back! Stand up straight!,¡Espalda! ¡Párense derecho!,Your back holds you up all day!,¡Tu espalda te sostiene todo el día!,Penny has a black back!,¡Penny tiene una espalda negra!
butt,Butt! Sit down on it!,¡Trasero! ¡Siéntate en él!,Everyone has a butt!,¡Todo el mundo tiene trasero!,Penny sits on her butt on the ice!,¡Penny se sienta en su trasero sobre el hielo!
pizza,Pizza! I love cheese!,¡Pizza! ¡Me encanta el queso!,Pizza is red and yellow and delicious!,¡La pizza es roja y amarilla y deliciosa!,Penny wants pizza right now!,¡Penny quiere pizza ahora mismo!
hamburgers,Hamburger! Meat inside a bun!,¡Hamburguesa! ¡Carne dentro de un pan!,Big and delicious hamburger!,¡Grande y deliciosa hamburguesa!,Penny loves hamburgers!,¡A Penny le encantan las hamburguesas!
french fries,French fries! Hot and golden!,¡Papas fritas! ¡Calientes y doradas!,French fries are made from potatoes!,¡Las papas fritas se hacen con papas!,Penny eats french fries with ketchup!,¡Penny come papas fritas con ketchup!
fried chicken,Fried chicken! Hot and golden!,¡Pollo frito! ¡Caliente y dorado!,Crispy fried chicken — so good!,¡Pollo frito crujiente — ¡muy rico!,This penguin loves fried chicken!,¡A este pingüino le encanta el pollo frito!
soda,Soda! Sweet and cold!,¡Refresco! ¡Dulce y frío!,Soda has bubbles!,¡El refresco tiene burbujas!,Penny's favorite soda is orange!,¡El refresco favorito de Penny es de naranja!
potato chips,Potato chips! So salty!,¡Papitas! ¡Tan saladas!,Crunch crunch — potato chips!,¡Crunch crunch — ¡papitas!,Penny loves potato chips!,¡A Penny le encantan las papitas!
candy,Candy! Red and yellow and green!,¡Dulces! ¡Rojos y amarillos y verdes!,Candy is very sweet!,¡Los dulces son muy dulces!,Penny's favorite candy is red!,¡El dulce favorito de Penny es rojo!
cupcakes,Cupcakes! Little cakes for you!,¡Pastelitos! ¡Pequeños pasteles para ti!,Pink and yellow cupcakes!,¡Pastelitos rosados y amarillos!,Penny baked cupcakes for you!,¡Penny horneó pastelitos para ti!
ice cream,Ice cream! Penguins love vanilla!,¡Helado! ¡A los pingüinos les encanta la vainilla!,Cold and sweet ice cream!,¡Helado frío y dulce!,What color is your ice cream?,¿De qué color es tu helado?
milkshakes,This penguin does not like milkshakes!,¡A este pingüino no le gustan los batidos!,Milkshake! Cold and sweet!,¡Batido! ¡Frío y dulce!,Do you like chocolate milkshake?,¿Te gusta el batido de chocolate?
hot dogs,Hot dog! Hot and delicious!,¡Hot dog! ¡Caliente y delicioso!,A hot dog inside a bun!,¡Un hot dog dentro de un pan!,Penny loves hot dogs!,¡A Penny le encantan los hot dogs!
chocolate bars,Chocolate! So sweet!,¡Chocolate! ¡Tan dulce!,Dark chocolate or milk chocolate?,¿Chocolate oscuro o chocolate con leche?,Penny's favorite food is chocolate!,¡La comida favorita de Penny es el chocolate!
donuts,Donut! Round with a hole!,¡Dona! ¡Redonda con un hoyo!,Pink donut with rainbow sprinkles!,¡Dona rosada con chispas de colores!,Penny eats a donut every morning!,¡Penny come una dona cada mañana!
popcorn,Popcorn! White and salty!,¡Palomitas! ¡Blancas y saladas!,Pop pop pop — popcorn!,¡Pop pop pop — ¡palomitas!,Penny eats popcorn at the movies!,¡Penny come palomitas en el cine!
cake,Cake! Is it your birthday?,¡Pastel! ¿Es tu cumpleaños?,Pink cake with candles!,¡Pastel rosado con velas!,Penny made you a birthday cake!,¡Penny te hizo un pastel de cumpleaños!
nuggets,Nuggets! Small and golden!,¡Nuggets! ¡Pequeños y dorados!,Nuggets are small pieces of chicken!,¡Los nuggets son pequeños trozos de pollo!,Penny dips nuggets in ketchup!,¡Penny moja los nuggets en ketchup!
pancakes,Pancakes! Soft and warm!,¡Panqueques! ¡Suaves y calientitos!,Pancakes with honey and butter!,¡Panqueques con miel y mantequilla!,Penny eats ten pancakes for breakfast!,¡Penny come diez panqueques en el desayuno!
cotton candy,Cotton candy! Pink and sweet!,¡Algodón de azúcar! ¡Rosado y dulce!,Soft and sweet cotton candy!,¡Algodón de azúcar suave y dulce!,Penny loves pink cotton candy!,¡A Penny le encanta el algodón de azúcar rosado!
gum,Gum! Chew chew chew!,¡Chicle! ¡Mastica mastica mastica!,Gum — do not swallow it!,¡Chicle — ¡no lo tragues!,Penny chews gum all day!,¡Penny mastica chicle todo el día!
lollipops,Lollipop! Sweet on a stick!,¡Paleta! ¡Dulce en un palito!,Red and orange and green lollipops!,¡Paletas rojas y anaranjadas y verdes!,Penny's favorite lollipop is red!,¡La paleta favorita de Penny es roja!
gummy bears,Gummy bears! Red and green and yellow!,¡Ositos de goma! ¡Rojos y verdes y amarillos!,Soft and sweet gummy bears!,¡Ositos de goma suaves y dulces!,Penny eats gummy bears every day!,¡Penny come ositos de goma todos los días!
marshmallows,Marshmallows! Soft and white!,¡Malvaviscos! ¡Suaves y blancos!,Marshmallows are sweet and soft!,¡Los malvaviscos son dulces y suaves!,Penny loves white marshmallows — like snow!,¡A Penny le encantan los malvaviscos blancos — ¡como la nieve!
popsicles,Popsicle! Cold on a stick!,¡Paleta de hielo! ¡Fría en un palito!,Red and orange and green popsicles!,¡Paletas de hielo rojas y anaranjadas y verdes!,Penny loves cold popsicles!,¡A Penny le encantan las paletas de hielo frías!
brownies,Brownie! Dark and sweet!,¡Brownie! ¡Oscuro y dulce!,Chocolate brownies — so good!,¡Brownies de chocolate — ¡tan ricos!,Penny made chocolate brownies!,¡Penny hizo brownies de chocolate!
onion rings,Onion rings! Round and hot!,¡Aros de cebolla! ¡Redondos y calientes!,Golden onion rings!,¡Aros de cebolla dorados!,Penny eats onion rings on Fridays!,¡Penny come aros de cebolla los viernes!
corn dogs,Corn dog! Meat on a stick!,¡Perro en maíz! ¡Carne en un palito!,Yellow corn dog — so delicious!,¡Perro en maíz amarillo — ¡tan delicioso!,Penny loves corn dogs at the park!,¡A Penny le encantan los perros en maíz en el parque!
cookies,Cookies! Brown and sweet!,¡Galletas! ¡Marrones y dulces!,Big chocolate chip cookies!,¡Grandes galletas de chispas de chocolate!,Penny baked cookies for you!,¡Penny horneó galletas para ti!
pretzels,Pretzel! Brown and salty!,¡Pretzel! ¡Marrón y salado!,Salty pretzels — so good!,¡Pretzels salados — ¡tan ricos!,Penny eats pretzels every day!,¡Penny come pretzels todos los días!
syrup,Syrup! Sweet and golden!,¡Jarabe! ¡Dulce y dorado!,Put sweet syrup on your pancakes!,¡Ponle jarabe dulce a tus panqueques!,Penny puts syrup on everything!,¡Penny le pone jarabe a todo!
whipped cream,Whipped cream! White and sweet!,¡Crema batida! ¡Blanca y dulce!,Put whipped cream on top!,¡Pon crema batida encima!,Penny puts whipped cream on her fish!,¡Penny le pone crema batida a su pescado!
apple,Apple! Red or green or yellow!,¡Manzana! ¡Roja o verde o amarilla!,One apple a day is good for you!,¡Una manzana al día es buena para ti!,Penny gives you a red apple!,¡Penny te da una manzana roja!
banana,Banana! Yellow and sweet!,¡Plátano! ¡Amarillo y dulce!,Peel the banana and eat it!,¡Pela el plátano y cómelo!,Penny loves yellow bananas!,¡A Penny le encantan los plátanos amarillos!
orange,Orange! The color and the fruit!,¡Naranja! ¡El color y la fruta!,Peel the orange and eat it!,¡Pela la naranja y cómela!,Penny's beak is orange — like an orange!,¡El pico de Penny es anaranjado — ¡como una naranja!
grape,Grape! Small and sweet!,¡Uva! ¡Pequeña y dulce!,Grapes are green or purple!,¡Las uvas son verdes o moradas!,Penny eats green grapes!,¡Penny come uvas verdes!
pear,Pear! Green and sweet!,¡Pera! ¡Verde y dulce!,The pear is green and yellow!,¡La pera es verde y amarilla!,Penny has a pear for breakfast!,¡Penny tiene una pera para el desayuno!
strawberry,Strawberry! Red and sweet!,¡Fresa! ¡Roja y dulce!,Strawberries are red!,¡Las fresas son rojas!,Penny loves red strawberries!,¡A Penny le encantan las fresas rojas!
mango,Mango! Orange and sweet!,¡Mango! ¡Anaranjado y dulce!,Mango is yellow and orange inside!,¡El mango es amarillo y anaranjado por dentro!,Penny eats mango in the summer!,¡Penny come mango en el verano!
watermelon,Watermelon! Green outside and red inside!,¡Sandía! ¡Verde por fuera y roja por dentro!,Watermelon is red and sweet!,¡La sandía es roja y dulce!,Penny loves cold watermelon!,¡A Penny le encanta la sandía fría!
pineapple,Pineapple! Yellow inside!,¡Piña! ¡Amarilla por dentro!,Pineapple is yellow and sweet!,¡La piña es amarilla y dulce!,Penny eats pineapple on the beach!,¡Penny come piña en la playa!
water,Water! Drink water every day!,¡Agua! ¡Bebe agua todos los días!,Water is good for you!,¡El agua es buena para ti!,Penny drinks cold water every day!,¡Penny bebe agua fría todos los días!
orange juice,Orange juice! Sweet and orange!,¡Jugo de naranja! ¡Dulce y anaranjado!,Orange juice comes from oranges!,¡El jugo de naranja viene de las naranjas!,Penny drinks orange juice every morning!,¡Penny toma jugo de naranja cada mañana!
yogurt,Yogurt! White and good for you!,¡Yogur! ¡Blanco y bueno para ti!,Yogurt is sweet and cold!,¡El yogur es dulce y frío!,Penny's favorite yogurt is vanilla!,¡El yogur favorito de Penny es de vainilla!
bread,Bread! Brown or white!,¡Pan! ¡Marrón o blanco!,Eat bread for breakfast!,¡Come pan en el desayuno!,Penny puts butter on her bread!,¡Penny le pone mantequilla a su pan!
cereal,Cereal! With cold milk!,¡Cereal! ¡Con leche fría!,Eat cereal with milk every morning!,¡Come cereal con leche cada mañana!,Penny's favorite cereal is yellow!,¡El cereal favorito de Penny es amarillo!
coffee,Coffee! That is for big people!,¡Café! ¡Eso es para los grandes!,Coffee is hot and brown!,¡El café es caliente y marrón!,Penny does not drink coffee — she is too young!,¡Penny no toma café — ¡es muy joven!
milk,Milk! White and cold!,¡Leche! ¡Blanca y fría!,Drink milk — it is good for your bones!,¡Bebe leche — ¡es buena para tus huesos!,Penny drinks two glasses of milk every day!,¡Penny toma dos vasos de leche todos los días!
